Date,Code,Close,Name
2023-03-13,OIL_DU,81.01,OIL
2023-03-14,OIL_DU,79.2,OIL
2023-03-15,OIL_DU,77.25,OIL
2023-03-16,OIL_DU,77.85,OIL
2023-03-17,OIL_DU,77.14,OIL
2023-03-20,OIL_DU,77.37,OIL
2023-03-21,OIL_DU,77.97,OIL
2023-03-22,OIL_DU,78.35,OIL
2023-03-23,OIL_DU,78.13,OIL
2023-03-24,OIL_DU,74.1,OIL
2023-03-27,OIL_DU,77.14,OIL
2023-03-28,OIL_DU,77.31,OIL
2023-03-29,OIL_DU,76.77,OIL
2023-03-30,OIL_DU,77.77,OIL
2023-03-31,OIL_DU,79.39,OIL
2023-04-03,OIL_DU,84.69,OIL
2023-04-04,OIL_DU,84.47,OIL
2023-04-05,OIL_DU,84.59,OIL
2023-04-06,OIL_DU,84.99,OIL
2023-04-07,OIL_DU,84.99,OIL
2023-04-10,OIL_DU,84.28,OIL
2023-04-11,OIL_DU,85.19,OIL
2023-04-12,OIL_DU,86.35,OIL
2023-04-13,OIL_DU,85.61,OIL
2023-04-14,OIL_DU,85.64,OIL
2023-04-17,OIL_DU,84.95,OIL
2023-04-18,OIL_DU,85.0,OIL
2023-04-19,OIL_DU,84.36,OIL
2023-04-20,OIL_DU,83.55,OIL
2023-04-21,OIL_DU,80.82,OIL
2023-04-24,OIL_DU,81.81,OIL
2023-04-25,OIL_DU,79.95,OIL
2023-04-26,OIL_DU,76.75,OIL
2023-04-27,OIL_DU,77.48,OIL
2023-04-28,OIL_DU,80.26,OIL
2023-05-01,OIL_DU,79.24,OIL
2023-05-02,OIL_DU,75.01,OIL
2023-05-03,OIL_DU,72.28,OIL
2023-05-04,OIL_DU,72.5,OIL
2023-05-05,OIL_DU,74.88,OIL
2023-05-08,OIL_DU,76.25,OIL
2023-05-09,OIL_DU,76.55,OIL
2023-05-10,OIL_DU,75.64,OIL
2023-05-11,OIL_DU,74.74,OIL
2023-05-12,OIL_DU,74.01,OIL
2023-05-15,OIL_DU,74.54,OIL
2023-05-16,OIL_DU,74.42,OIL
2023-05-17,OIL_DU,75.18,OIL
2023-05-18,OIL_DU,74.76,OIL
2023-05-19,OIL_DU,74.61,OIL
2023-05-22,OIL_DU,74.61,OIL
