Date,Open,High,Low,Close,Adj Close,Volume,Name
2023-03-13,1319.540039,1317.579956,1297.469971,1319.540039,1319.540039,0,UK
2023-03-14,1296.380005,1314.469971,1295.25,1296.380005,1296.380005,0,UK
2023-03-15,1304.579956,1322.02002,1295.51001,1304.579956,1304.579956,0,UK
2023-03-16,1311.73999,1315.97998,1303.0,1311.73999,1311.73999,0,UK
2023-03-17,1301.619995,1309.01001,1298.349976,1301.619995,1301.619995,0,UK
2023-03-20,1307.650024,1313.359985,1299.650024,1307.650024,1307.650024,0,UK
2023-03-21,1304.939941,1310.880005,1302.0,1304.939941,1304.939941,0,UK
2023-03-22,1303.439941,1309.800049,1302.02002,1303.439941,1303.439941,0,UK
2023-03-23,1298.25,1299.180054,1276.130005,1298.25,1298.25,0,UK
2023-03-24,1286.290039,1307.050049,1283.47998,1286.290039,1286.290039,0,UK
2023-03-27,1294.829956,1303.339966,1294.819946,1294.829956,1294.829956,0,UK
2023-03-28,1297.800049,1300.550049,1292.23999,1297.800049,1297.800049,0,UK
2023-03-29,1296.97998,1303.930054,1295.150024,1296.97998,1296.97998,0,UK
2023-03-30,1307.130005,1307.589966,1295.839966,1307.130005,1307.130005,0,UK
2023-03-31,1296.5,1306.52002,1288.27002,1296.5,1296.5,0,UK
2023-04-03,1305.47998,1320.550049,1305.47998,1305.47998,1305.47998,0,UK
2023-04-04,1308.050049,1316.829956,1304.949951,1308.050049,1308.050049,0,UK
2023-04-05,1312.410034,1315.839966,1307.939941,1312.410034,1312.410034,0,UK
2023-04-06,1316.209961,1321.800049,1315.75,1316.209961,1316.209961,0,UK
2023-04-07,1317.939941,1319.939941,1313.25,1317.939941,1317.939941,0,UK
2023-04-10,1315.449951,1323.130005,1315.449951,1315.449951,1315.449951,0,UK
2023-04-11,1320.880005,1323.560059,1315.650024,1320.880005,1320.880005,0,UK
2023-04-12,1322.089966,1327.959961,1318.130005,1322.089966,1322.089966,0,UK
2023-04-13,1322.829956,1326.869995,1300.290039,1322.829956,1322.829956,0,UK
2023-04-14,1301.430054,1306.900024,1294.050049,1301.430054,1301.430054,0,UK
2023-04-17,1303.380005,1321.910034,1303.380005,1303.380005,1303.380005,0,UK
2023-04-18,1316.069946,1320.849976,1314.189941,1316.069946,1316.069946,0,UK
2023-04-19,1315.900024,1335.51001,1313.72998,1315.900024,1315.900024,0,UK
2023-04-20,1326.76001,1332.160034,1318.75,1326.76001,1326.76001,0,UK
2023-04-21,1323.599976,1332.170044,1322.780029,1323.599976,1323.599976,0,UK
2023-04-24,1329.380005,1336.910034,1328.099976,1329.380005,1329.380005,0,UK
2023-04-25,1332.800049,1342.77002,1328.609985,1332.800049,1332.800049,0,UK
2023-04-26,1341.0,1340.719971,1333.859985,1341.0,1341.0,0,UK
2023-04-27,1337.829956,1346.02002,1336.699951,1337.829956,1337.829956,0,UK
2023-04-28,1339.390015,1341.339966,1335.699951,1339.390015,1339.390015,0,UK
2023-05-01,1337.170044,1341.189941,1336.22998,1337.170044,1337.170044,0,UK
2023-05-02,1342.790039,1343.160034,1337.109985,1342.790039,1342.790039,0,UK
2023-05-03,1342.300049,1341.73999,1330.599976,1342.300049,1342.300049,0,UK
2023-05-04,1335.22998,1335.199951,1319.819946,1335.22998,1335.22998,0,UK
2023-05-05,1320.150024,1324.189941,1314.72998,1320.150024,1320.150024,0,UK
2023-05-08,1316.959961,1325.319946,1317.719971,1316.959961,1316.959961,0,UK
2023-05-09,1322.410034,1326.569946,1318.719971,1322.410034,1322.410034,0,UK
2023-05-10,1326.050049,1326.050049,1315.829956,1326.050049,1326.050049,0,UK
2023-05-11,1318.050049,1333.72998,1315.780029,1318.050049,1318.050049,0,UK
2023-05-12,1329.880005,1341.459961,1329.800049,1329.880005,1329.880005,0,UK
2023-05-15,1341.52002,1341.77002,1333.599976,1341.52002,1341.52002,0,UK
2023-05-16,1335.400024,1341.459961,1331.48999,1335.400024,1335.400024,0,UK
2023-05-17,1342.430054,1342.430054,1334.02002,1342.430054,1342.430054,0,UK
2023-05-18,1334.150024,1337.609985,1329.400024,1334.150024,1334.150024,0,UK
2023-05-19,1334.73999,1335.430054,1321.98999,1334.73999,1334.73999,0,UK
2023-05-22,1325.180054,1326.27002,1315.47998,1316.550049,1316.550049,0,UK
